source_key	bacterium	strain	query	candidate_rank	assembly_uid	assembly_accession	assembly_name	assembly_level	organism	ftp_path	reported_strain	review_status	notes
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_49	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 49""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_53	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 53""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_55	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 55""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Salmonella enterica	S_Typhimurium_ST_56	"""Salmonella enterica""[Organism] AND ""S Typhimurium ST 56""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Pseudomonas aeruginosa	PsaCI_1	"""Pseudomonas aeruginosa""[Organism] AND ""PsaCI 1""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Pseudomonas aeruginosa	PsaCI_2	"""Pseudomonas aeruginosa""[Organism] AND ""PsaCI 2""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Pseudomonas aeruginosa	PsaFI_1	"""Pseudomonas aeruginosa""[Organism] AND ""PsaFI 1""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Pseudomonas aeruginosa	PsaFI_2	"""Pseudomonas aeruginosa""[Organism] AND ""PsaFI 2""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Pseudomonas aeruginosa	PsaFI_1_table_cont	"""Pseudomonas aeruginosa""[Organism] AND ""PsaFI 1 table cont""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Staphylococcus aureus	SaFI_1	"""Staphylococcus aureus""[Organism] AND ""SaFI 1""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Staphylococcus aureus	SaFI_2	"""Staphylococcus aureus""[Organism] AND ""SaFI 2""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Staphylococcus aureus	SaFI_3	"""Staphylococcus aureus""[Organism] AND ""SaFI 3""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Escherichia coli	EcCI_1	"""Escherichia coli""[Organism] AND ""EcCI 1""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Escherichia coli	EcCI_2	"""Escherichia coli""[Organism] AND ""EcCI 2""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Escherichia coli	EcCI_3	"""Escherichia coli""[Organism] AND ""EcCI 3""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Escherichia coli	EcCI_4	"""Escherichia coli""[Organism] AND ""EcCI 4""[All Fields]"	0								no_candidate	
Abdelhadi2021_STM2	Klebsiella pneumoniae	KpCI_1	"""Klebsiella pneumoniae""[Organism] AND ""KpCI 1""[All Fields]"	0								no_candidate	
Wintachai2022_vABWU2101	Acinetobacter baumannii	ABPW0181	"""Acinetobacter baumannii""[Organism] AND ""ABPW0181""[All Fields]"	0								no_candidate	
